package	version	license	source
@babel/helper-string-parser	7.29.7	MIT	-
@babel/helper-validator-identifier	7.29.7	MIT	-
@babel/parser	7.29.9	MIT	-
@babel/types	7.29.8	MIT	-
@jridgewell/gen-mapping	0.3.13	MIT	-
@jridgewell/remapping	2.3.5	MIT	-
@jridgewell/resolve-uri	3.1.2	MIT	-
@jridgewell/sourcemap-codec	1.6.0	MIT	-
@jridgewell/trace-mapping	0.3.31	MIT	-
@mdi/js	7.4.47	Apache-2.0	-
@oxc-project/types	0.150.0	MIT	-
@playwright/test	1.63.0	Apache-2.0	-
@rolldown/binding-android-arm-eabi	1.2.9	MIT	-
@rolldown/binding-android-arm64	1.2.9	MIT	-
@rolldown/binding-darwin-arm64	1.2.9	MIT	-
@rolldown/binding-darwin-x64	1.2.9	MIT	-
@rolldown/binding-freebsd-x64	1.2.9	MIT	-
@rolldown/binding-linux-arm-gnueabihf	1.2.9	MIT	-
@rolldown/binding-linux-arm64-gnu	1.2.9	MIT	-
@rolldown/binding-linux-arm64-musl	1.2.9	MIT	-
@rolldown/binding-linux-ppc64-gnu	1.2.9	MIT	-
@rolldown/binding-linux-s390x-gnu	1.2.9	MIT	-
@rolldown/binding-linux-x64-gnu	1.2.9	MIT	-
@rolldown/binding-linux-x64-musl	1.2.9	MIT	-
@rolldown/binding-openharmony-arm64	1.2.9	MIT	-
@rolldown/binding-win32-arm64-msvc	1.2.9	MIT	-
@rolldown/binding-win32-x64-msvc	1.2.9	MIT	-
@rolldown/pluginutils	1.0.1	MIT	-
@vitejs/plugin-vue	6.0.9	MIT	-
@volar/language-core	2.4.28	MIT	-
@volar/source-map	2.4.28	MIT	-
@volar/typescript	2.4.28	MIT	-
@vue-macros/common	3.1.4	MIT	-
@vue/compiler-core	3.5.43	MIT	-
@vue/compiler-dom	3.5.43	MIT	-
@vue/compiler-sfc	3.5.43	MIT	-
@vue/compiler-ssr	3.5.43	MIT	-
@vue/devtools-api	8.2.1	MIT	-
@vue/devtools-kit	8.2.1	MIT	-
@vue/devtools-shared	8.2.1	MIT	-
@vue/language-core	3.3.11	MIT	-
@vue/reactivity	3.5.43	MIT	-
@vue/runtime-core	3.5.43	MIT	-
@vue/runtime-dom	3.5.43	MIT	-
@vue/server-renderer	3.5.43	MIT	-
@vue/shared	3.5.43	MIT	-
@vuetify/v0	1.2.2	MIT	-
acorn	8.18.0	MIT	-
alien-signals	3.2.1	MIT	-
ast-kit	2.2.0	MIT	-
ast-walker-scope	0.9.0	MIT	-
birpc	2.9.0	MIT	-
chokidar	5.0.0	MIT	-
confbox	0.2.4	MIT	-
csstype	3.2.3	MIT	-
detect-libc	2.1.2	Apache-2.0	-
entities	7.0.1	BSD-2-Clause	-
estree-walker	2.0.2	MIT	-
exsolve	1.1.1	MIT	-
fdir	6.5.0	MIT	-
fsevents	2.3.3	MIT	-
hookable	5.5.3	MIT	-
lightningcss	1.33.0	MPL-2.0	-
lightningcss-android-arm64	1.33.0	MPL-2.0	-
lightningcss-darwin-arm64	1.33.0	MPL-2.0	-
lightningcss-darwin-x64	1.33.0	MPL-2.0	-
lightningcss-freebsd-x64	1.33.0	MPL-2.0	-
lightningcss-linux-arm-gnueabihf	1.33.0	MPL-2.0	-
lightningcss-linux-arm64-gnu	1.33.0	MPL-2.0	-
lightningcss-linux-arm64-musl	1.33.0	MPL-2.0	-
lightningcss-linux-x64-gnu	1.33.0	MPL-2.0	-
lightningcss-linux-x64-musl	1.33.0	MPL-2.0	-
lightningcss-win32-arm64-msvc	1.33.0	MPL-2.0	-
lightningcss-win32-x64-msvc	1.33.0	MPL-2.0	-
local-pkg	1.2.1	MIT	-
magic-string	0.30.21	MIT	-
magic-string-ast	1.0.3	MIT	-
mlly	1.8.2	MIT	-
confbox	0.1.8	MIT	-
pkg-types	1.3.1	MIT	-
muggle-string	0.4.1	MIT	-
nanoid	3.3.19	MIT	-
nostics	1.3.0	MIT	-
path-browserify	1.0.1	MIT	-
pathe	2.0.3	MIT	-
perfect-debounce	2.1.0	MIT	-
picocolors	1.1.1	ISC	-
picomatch	4.0.7	MIT	-
pinia	4.0.3	MIT	-
pkg-types	2.3.3	MIT	-
confbox	0.3.1	MIT	-
playwright	1.63.0	Apache-2.0	-
playwright-core	1.63.0	Apache-2.0	-
postcss	8.5.28	MIT	-
quansync	0.2.11	MIT	-
readdirp	5.1.1	MIT	-
rolldown	1.2.9	MIT	-
scule	1.3.0	MIT	-
source-map-js	1.2.1	BSD-3-Clause	-
tinyglobby	0.2.17	MIT	-
typescript	6.0.3	Apache-2.0	-
ufo	1.6.4	MIT	-
unplugin	3.4.0	MIT	-
unplugin-utils	0.3.2	MIT	-
vite	8.3.0	MIT	-
vscode-uri	3.2.0	MIT	-
vue	3.5.43	MIT	-
vue-router	5.3.1	MIT	-
vue-tsc	3.3.11	MIT	-
vuetify	4.2.1	MIT	-
webpack-virtual-modules	0.6.2	MIT	-
