package	version	license	source
@bbob/parser	2.9.0	MIT	-
@bbob/plugin-helper	2.9.0	MIT	-
@doctormckay/stdlib	2.10.0	MIT	-
@doctormckay/steam-crypto	1.2.0	MIT	-
@doctormckay/user-agents	1.1.0	MIT	-
@protobufjs/aspromise	1.1.2	BSD-3-Clause	-
@protobufjs/base64	1.1.2	BSD-3-Clause	-
@protobufjs/codegen	2.0.5	BSD-3-Clause	-
@protobufjs/eventemitter	1.1.1	BSD-3-Clause	-
@protobufjs/fetch	1.1.1	BSD-3-Clause	-
@protobufjs/float	1.0.2	BSD-3-Clause	-
@protobufjs/path	1.1.2	BSD-3-Clause	-
@protobufjs/pool	1.1.0	BSD-3-Clause	-
@protobufjs/utf8	1.1.2	BSD-3-Clause	-
@types/node	26.6.1	MIT	-
adm-zip	0.6.1	MIT	-
agent-base	6.0.2	MIT	-
ansi-regex	5.0.1	MIT	-
ansi-styles	4.3.0	MIT	-
binarykvparser	2.3.0	MIT	-
bytebuffer	5.0.1	Apache-2.0	-
long	3.2.0	Apache-2.0	-
camelcase	5.3.1	MIT	-
cliui	6.0.0	ISC	-
color-convert	2.0.1	MIT	-
color-name	1.1.4	MIT	-
cuint	0.2.2	MIT	-
debug	4.4.3	MIT	-
decamelize	1.2.0	MIT	-
dijkstrajs	1.0.3	MIT	-
emoji-regex	8.0.0	MIT	-
file-manager	2.0.1	MIT	-
@doctormckay/stdlib	1.16.1	MIT	-
find-up	4.1.0	MIT	-
get-caller-file	2.0.5	ISC	-
ip-address	10.7.2	MIT	-
is-fullwidth-code-point	3.0.0	MIT	-
kvparser	1.0.2	MIT	-
locate-path	5.0.0	MIT	-
long	5.3.2	Apache-2.0	-
lzma	2.3.2	MIT	-
ms	2.1.3	MIT	-
node-bignumber	1.2.2	LicenseRef-Tom-Wu-and-MIT	-
p-limit	2.3.0	MIT	-
p-locate	4.1.0	MIT	-
p-try	2.2.0	MIT	-
path-exists	4.0.0	MIT	-
permessage-deflate	0.1.7	Apache-2.0	-
pngjs	5.0.0	MIT	-
protobufjs	7.6.5	BSD-3-Clause	-
psl	1.15.0	MIT	-
punycode	2.3.1	MIT	-
qrcode	1.5.4	MIT	-
require-directory	2.1.1	MIT	-
require-main-filename	2.0.0	ISC	-
safe-buffer	5.2.1	MIT	-
set-blocking	2.0.0	ISC	-
smart-buffer	4.2.0	MIT	-
socks	2.8.10	MIT	-
socks-proxy-agent	7.0.0	MIT	-
steam-appticket	1.0.2	MIT	-
@doctormckay/stdlib	1.16.1	MIT	-
steamid	1.1.3	MIT	-
steam-session	1.9.4	MIT	-
steam-totp	2.1.2	MIT	-
steam-user	5.3.0	MIT	-
steamid	2.1.0	MIT	-
string-width	4.2.3	MIT	-
strip-ansi	6.0.1	MIT	-
tiny-typed-emitter	2.1.0	MIT	-
undici-types	8.9.0	MIT	-
websocket-extensions	0.1.4	Apache-2.0	-
websocket13	4.1.0	MIT	-
which-module	2.0.1	ISC	-
wrap-ansi	6.2.0	MIT	-
y18n	4.0.3	ISC	-
yargs	15.4.1	MIT	-
yargs-parser	18.1.3	ISC	-
zstddec	0.1.0	MIT AND BSD-3-Clause	-
